medium version intensity reflectance luminance
transp_med 13 6 0.73 156
transp_med 14 8 1.369 179
transp_med 15 5 0.49 147
transp_med 1 9 1.768 193
transp_med 2 4 0.305 140
transp_med 3 4 0.305 140
transp_med 4 1 0.065 132
transp_med 5 10 2.22 209
transp_med 6 7 1.023 167
transp_med 7 2 0.092 132
transp_med 8 8 1.369 179
transp_med 9 6 0.73 157
transp_med_steep 10 1 0.065 103
transp_med_steep 11 6 0.73 150
transp_med_steep 12 1 0.065 103
transp_med_steep 13 7 1.023 172
transp_med_steep 14 10 2.22 258
transp_med_steep 15 2 0.092 106
transp_med_steep 1 4 0.305 120
transp_med_steep 2 1 0.065 103
transp_med_steep 3 8 1.369 197
transp_med_steep 4 6 0.73 151
transp_med_steep 5 5 0.49 134
transp_med_steep 6 6 0.73 151
transp_med_steep 7 2 0.092 106
transp_med_steep 8 5 0.49 134
transp_med_steep 9 9 1.768 225
plain 10 4 0.305 59
plain 1 5 0.49 93
plain 11 4 0.305 59
plain 12 2 0.092 22
plain 13 4 0.305 58
plain 14 6 0.73 136
plain 15 1 0.065 16
plain 2 9 1.768 323
plain 3 3 0.171 36
plain 4 5 0.49 92
plain 5 1 0.065 15
plain 6 9 1.768 324
plain 7 7 1.023 187
plain 8 9 1.768 324
plain 9 2 0.092 22
shadow 10 4 0.305 19
shadow 11 4 0.305 18
shadow 12 1 0.065 6
shadow 13 9 1.768 98
shadow 14 1 0.065 6
shadow 1 8 1.369 75
shadow 15 7 1.023 58
shadow 2 5 0.49 30
shadow 3 4 0.305 19
shadow 4 9 1.768 97
shadow 5 1 0.065 6
shadow 6 2 0.092 8
shadow 7 1 0.065 5
shadow 8 1 0.065 6
shadow 9 8 1.369 74
transp_dark 10 5 0.49 35
transp_dark 11 7 1.023 56
transp_dark 12 5 0.49 35
transp_dark 13 4 0.305 29
transp_dark 14 1 0.065 20
transp_dark 15 9 1.768 83
transp_dark 1 4 0.305 29
transp_dark 2 9 1.768 82
transp_dark 3 4 0.305 29
transp_dark 4 5 0.49 35
transp_dark 5 6 0.73 44
transp_dark 6 1 0.065 20
transp_dark 7 10 2.22 99
transp_dark 8 1 0.065 20
transp_dark 9 3 0.171 24
transp_dark_steep 10 10 2.22 174
transp_dark_steep 11 6 0.73 67
transp_dark_steep 12 8 1.369 113
transp_dark_steep 13 6 0.73 67
transp_dark_steep 14 5 0.49 50
transp_dark_steep 1 8 1.369 113
transp_dark_steep 15 4 0.305 37
transp_dark_steep 2 3 0.171 27
transp_dark_steep 3 2 0.092 20
transp_dark_steep 4 1 0.065 19
transp_dark_steep 5 10 2.22 174
transp_dark_steep 6 8 1.369 113
transp_dark_steep 7 6 0.73 67
transp_dark_steep 8 4 0.305 37
transp_dark_steep 9 2 0.092 20
transp_med 10 7 1.023 167
transp_med 11 8 1.369 179
transp_med 12 2 0.092 132
transp_med 13 6 0.73 156
transp_med 14 8 1.369 179
transp_med 15 5 0.49 147
transp_med 1 9 1.768 193
transp_med 2 4 0.305 140
transp_med 3 4 0.305 140
transp_med 4 1 0.065 132
transp_med 5 10 2.22 209
transp_med 6 7 1.023 167
transp_med 7 2 0.092 132
transp_med 8 8 1.369 179
transp_med 9 6 0.73 157
transp_med_steep 10 1 0.065 103
transp_med_steep 11 6 0.73 150
transp_med_steep 12 1 0.065 103
transp_med_steep 13 7 1.023 171
transp_med_steep 14 10 2.22 258
transp_med_steep 15 2 0.092 106
transp_med_steep 1 4 0.305 120
transp_med_steep 2 1 0.065 103
transp_med_steep 3 8 1.369 197
transp_med_steep 4 6 0.73 151
transp_med_steep 5 5 0.49 134
transp_med_steep 6 6 0.73 151
transp_med_steep 7 2 0.092 106
transp_med_steep 8 5 0.49 134
transp_med_steep 9 9 1.768 225
transp_dark_small 10 2 0.092 18.98
transp_dark_small 11 4 0.305 26.83
transp_dark_small 12 6 0.73 40.64
transp_dark_small 13 5 0.49 32.76
transp_dark_small 14 2 0.092 18.93
transp_dark_small 15 7 1.023 50.77
transp_dark_small 1 2 0.092 18.82
transp_dark_small 2 8 1.369 62.75
transp_dark_small 3 9 1.768 76.15
transp_dark_small 4 7 1.023 50.78
