medium location target_lum f2 f3 e3 start_int start_lum n_changes match_int match_lum
transp_med_steep f3 0.092 1.768 0.092 0.171 0.202183881373 100.966485837 7 0.1 49.9379501231
transp_med e3 1.768 1.369 0.730 1.768 0.673936900337 336.550273152 4 0.573936900337 286.612323029
transp_med f2 1.369 1.369 0.730 1.768 0.0165604589906 8.2699537509 10 0.45 224.720775554
transp_med f3 0.730 1.369 0.730 1.768 0.0446018813297 22.2732652524 4 0.24460188133 122.149165499
transp_med_steep e3 1.768 0.730 1.369 1.768 0.881271285811 440.088815158 7 0.631271285811 315.24393985
transp_med_steep f2 0.730 0.730 1.369 1.768 0.707980372 353.550885051 9 0.357980372 178.76805962
transp_med_steep f3 1.369 0.730 1.369 1.768 0.573922462643 286.60511314 0 0.573922462643 286.60511314
plain e3 0.171 2.220 0.305 0.171 0.0964047116726 48.1425368314 1 0.0464047116726 23.1735617698
plain f2 2.220 2.220 0.305 0.171 0.588603061094 293.936303072 9 1 499.379501231
plain f3 0.305 2.220 0.305 0.171 0.230175825311 114.945088839 10 0.130175825311 65.0071387163
transp_dark_steep e3 1.023 2.220 0.305 1.023 0.755373220841 377.217902267 10 0.355373220841 177.466101774
transp_dark_steep f2 2.220 2.220 0.305 1.023 0.338281499308 168.9308464 7 0.588281499308 293.775721708
transp_dark_steep f3 0.305 2.220 0.305 1.023 0.748305391098 373.688372975 15 0.0983053910984 49.0916971751
transp_med e3 1.023 0.171 0.092 1.023 0.491897782632 245.643669347 2 0.391897782632 195.705719224
transp_med f2 0.171 0.171 0.092 1.023 0.839986236401 419.471907775 15 0.189986236401 94.8752319746
transp_med f3 0.092 0.171 0.092 1.023 0.267165910643 133.417179203 9 0.05 24.9689750616
transp_med e3 0.490 0.305 2.220 0.490 0.508236700022 253.802989765 13 0.158236700022 79.0201643336
transp_med f2 0.305 0.305 2.220 0.490 0.179908608207 89.8426710339 5 0.129908608207 64.8736959723
transp_med f3 2.220 0.305 2.220 0.490 0.637176550161 318.192907816 4 0.437176550161 218.31700757
transp_med e3 2.220 0.490 0.730 2.220 0.829734751214 414.352526215 20 0.529734751214 264.538675846
transp_med f2 0.490 0.490 0.730 2.220 0.178069438392 88.9242273287 2 0.278069438392 138.862177452
transp_med f3 0.730 0.490 0.730 2.220 0.217104005214 108.417289839 3 0.367104005214 183.324215024
transp_med e3 1.023 1.369 0.065 1.023 0.413249688515 206.368423335 1 0.363249688515 181.399448273
transp_med f2 1.369 1.369 0.065 1.023 0.359730058801 179.641817342 2 0.259730058801 129.703867219
transp_med f3 0.065 1.369 0.065 1.023 0.821245455441 410.113145927 18 0.121245455441 60.5474950646
transp_dark e3 2.220 1.768 1.023 2.220 0.205623868905 102.684345095 17 0.655623868905 327.405120649
transp_dark f2 1.768 1.768 1.023 2.220 0.663589982508 331.383234487 4 0.463589982508 231.507334241
transp_dark f3 1.023 1.768 1.023 2.220 0.398323307122 198.914494439 3 0.248323307122 124.007569255
transp_med_steep e3 1.369 0.171 0.730 1.369 0.751107009313 375.087443682 5 0.501107009313 250.242568374
transp_med_steep f2 0.171 0.171 0.730 1.369 0.205856297491 102.800415166 4 0.105856297491 52.8624650432
transp_med_steep f3 0.730 0.171 0.730 1.369 0.399411366008 199.457848743 2 0.299411366008 149.51989862
transp_dark_steep e3 0.171 0.092 0.730 0.171 0.480828497527 240.115895273 10 0.080828497527 40.3640947803
transp_dark_steep f2 0.092 0.092 0.730 0.171 0.612347496 305.793787133 16 0.05 24.9689750616
transp_dark_steep f3 0.730 0.092 0.730 0.171 0.854458272662 426.698946025 13 0.204458272662 102.102270224
plain e3 1.369 0.305 0.490 1.369 0.156504158217 78.154968471 15 0.606504158217 302.875744025
plain f2 0.305 0.305 0.490 1.369 0.301647364705 150.636510534 3 0.151647364705 75.7295853496
plain f3 0.490 0.305 0.490 1.369 0.710802329539 354.960112799 11 0.260802329539 130.239337245
transp_dark e3 1.369 1.023 0.065 1.369 0.813248567039 406.119663785 12 0.313248567039 156.42991317
transp_dark f2 1.023 1.023 0.065 1.369 0.0317423262489 15.8514670501 9 0.2 99.8759002463
transp_dark f3 0.065 1.023 0.065 1.369 0.818615036178 408.799568467 22 0.05 24.9689750616
transp_med_steep e3 0.490 0.065 2.220 0.490 0.998004785673 498.383132096 15 0.248004785673 123.848506172
transp_med_steep f2 0.065 0.065 2.220 0.490 0.418068254715 208.77471652 13 0.05 24.9689750616
transp_med_steep f3 2.220 0.065 2.220 0.490 0.137863343958 68.8461279438 28 0.7 349.565650862
transp_dark e3 2.220 0.730 0.171 2.220 0.131892647093 65.8644843216 22 0.55 274.658725677
transp_dark f2 0.730 0.730 0.171 2.220 0.832200578217 415.583909675 12 0.232200578217 115.956208936
transp_dark f3 0.171 0.730 0.171 2.220 0.908869451183 453.870773216 24 0.05 24.9689750616
shadow e3 2.220 0.490 0.092 2.220 0.743458374526 371.267872257 8 0.643458374526 321.329922134
shadow f2 0.490 0.490 0.092 2.220 0.351763670859 175.663566505 6 0.151763670859 75.7876662585
shadow f3 0.092 0.490 0.092 2.220 0.373999638391 186.76775288 14 0 0.0
shadow e3 2.220 0.305 1.369 2.220 0.0106798842047 5.33331524736 12 0.55 274.658725677
shadow f2 0.305 0.305 1.369 2.220 0.615699967887 307.467942871 13 0.0656999678866 32.8092171941
shadow f3 1.369 0.305 1.369 2.220 0.894699833946 446.794756828 10 0.394699833946 197.105006212
shadow e3 0.730 1.023 0.305 0.730 0.0101196493404 5.05354544024 6 0.2 99.8759002463
shadow f2 1.023 1.023 0.305 0.730 0.280951399944 140.301369974 3 0.230951399944 115.332394913
shadow f3 0.305 1.023 0.305 0.730 0.506767954166 253.069528191 11 0.0567679541655 28.3487526371
transp_dark e3 1.768 0.092 0.065 1.768 0.872088544415 435.50314234 9 0.422088544415 210.782366785
transp_dark f2 0.092 0.092 0.065 1.768 0.605839010715 302.543582997 16 0.05 24.9689750616
transp_dark f3 0.065 0.092 0.065 1.768 0.611143325003 305.192448821 13 0.0611433250034 30.5337231438
transp_med_steep e3 2.220 1.768 0.092 2.220 0.547546760768 273.433628293 4 0.647546760768 323.371578417
transp_med_steep f2 1.768 1.768 0.092 2.220 0.328686868416 164.139484411 1 0.378686868416 189.108459473
transp_med_steep f3 0.092 1.768 0.092 2.220 0.427177052 213.323463165 12 0.05 24.9689750616
shadow e3 0.305 0.092 1.768 0.305 0.592949671053 296.106910986 13 0.05 24.9689750616
shadow f2 0.092 0.092 1.768 0.305 0.707193246498 353.157810711 18 0 0.0
shadow f3 1.768 0.092 1.768 0.305 0.74349493475 371.286129683 4 0.74349493475 371.286129683
transp_dark_steep e3 1.369 0.171 0.730 1.369 0.196260061014 98.0082513808 8 0.496260061014 247.82210175
transp_dark_steep f2 0.171 0.171 0.730 1.369 0.58953978315 294.404082865 12 0.0895397831496 44.7143322496
transp_dark_steep f3 0.730 0.171 0.730 1.369 0.0971502195894 48.5148282031 8 0.297150219589 148.390728449
shadow e3 0.490 0.065 0.305 0.490 0.378582146466 189.056163477 4 0.178582146466 89.1802632312
shadow f2 0.065 0.065 0.305 0.490 0.990163484219 494.467346887 21 0.05 24.9689750616
shadow f3 0.305 0.065 0.305 0.490 0.781709967206 390.369933531 15 0.231709967206 115.711207854
transp_dark e3 0.730 0.171 0.065 0.730 0.749193845678 374.13204898 12 0.249193845678 124.442298364
transp_dark f2 0.171 0.171 0.065 0.730 0.359847321332 179.700375846 10 0.0598473213322 29.8865254769
transp_dark f3 0.065 0.171 0.065 0.730 0.120754928391 60.3025359112 4 0 0.0
shadow e3 1.023 2.220 0.305 1.023 0.165083672572 82.4394020705 10 0.465083672572 232.25325244
shadow f2 2.220 2.220 0.305 1.023 0.369336186051 184.438920377 8 0.669336186051 334.252770746
shadow f3 0.305 2.220 0.305 1.023 0.0886403002863 44.265148946 5 0.05 24.9689750616
transp_med_steep e3 1.369 0.092 1.023 1.369 0.939398161203 469.116185199 9 0.489398161203 244.395409645
transp_med_steep f2 0.092 0.092 1.023 1.369 0.0375119756804 18.7327117055 5 0.1 49.9379501231
transp_med_steep f3 1.023 0.092 1.023 1.369 0.854437092205 426.688368939 13 0.404437092205 201.967593385
transp_dark_steep e3 0.065 2.220 1.768 0.065 0.573302819407 286.29567601 14 0.05 24.9689750616
transp_dark_steep f2 2.220 2.220 1.768 0.065 0.558967398644 279.136860739 5 0.608967398644 304.105835801
transp_dark_steep f3 1.768 2.220 1.768 0.065 0.78451704238 391.771729331 6 0.48451704238 241.957878962
transp_med e3 0.730 0.092 0.490 0.730 0.163970710503 81.8836116275 7 0.313970710503 156.790536812
transp_med f2 0.092 0.092 0.490 0.730 0.966801931522 482.801066353 16 0.166801931522 83.2974653681
transp_med f3 0.490 0.092 0.490 0.730 0.595359033537 297.310097221 5 0.345359033537 172.465221913
transp_dark e3 0.171 0.305 0.490 0.171 0.0988485807629 49.3629549588 6 0.05 24.9689750616
transp_dark f2 0.305 0.305 0.490 0.171 0.252739022572 126.212687034 10 0.15 74.9069251847
transp_dark f3 0.490 0.305 0.490 0.171 0.106220289397 53.0442351399 10 0.2 99.8759002463
transp_med e3 1.023 1.369 2.220 1.023 0.221339939444 110.532628562 8 0.421339939444 210.408528808
transp_med f2 1.369 1.369 2.220 1.023 0.643346175871 321.273892425 4 0.543346175871 271.335942302
transp_med f3 2.220 1.369 2.220 1.023 0.302895136269 151.259622076 11 0.552895136269 276.104497383
shadow e3 1.369 0.171 0.730 1.369 0.694859846788 346.998763715 5 0.544859846788 272.09183853
shadow f2 0.171 0.171 0.730 1.369 0.110157680019 55.0104873049 13 0 0.0
shadow f3 0.730 0.171 0.730 1.369 0.036913733543 18.4339618453 6 0.25 124.844875308
