medium location target_lum f2 f3 e3 start_int start_lum n_changes match_int match_lum
transp_med f3 0.065 1.369 0.065 1.023 0.610773645113 305.007838262 20 0.260773645113 130.225012831
transp_dark e3 1.369 0.171 0.490 1.369 0.825564238177 412.269857495 15 0.45 224.720775554
transp_dark f2 0.171 0.171 0.490 1.369 0.397663300367 198.584900595 7 0.0476633003671 23.8020751644
transp_dark f3 0.490 0.171 0.490 1.369 0.897281671592 448.084073624 26 0.132281671592 66.0587551819
shadow e3 0.490 0.092 2.220 0.490 0.677223089645 338.191328729 13 0.127223089645 63.5326030522
shadow f2 0.092 0.092 2.220 0.490 0.800468311533 399.737466165 26 0.01 4.99379501231
shadow f3 2.220 0.092 2.220 0.490 0.310793017233 155.203661932 4 0.510793017233 255.079562178
plain e3 0.490 0.065 1.768 0.490 0.491998135039 245.693783283 10 0.156998135039 78.4016503702
plain f2 0.065 0.065 1.768 0.490 0.254306186366 126.995296507 14 0.025 12.4844875308
plain f3 1.768 0.065 1.768 0.490 0.743591864388 371.334534358 5 0.713591864388 356.353149321
plain e3 0.171 0.065 0.305 0.171 0.687774051082 343.460262589 18 0.0627740510818 31.3480743195
plain f2 0.065 0.065 0.305 0.171 0.778095190374 388.56478808 19 0.0180951903742 9.03636714374
plain f3 0.305 0.065 0.305 0.171 0.398738481846 199.121824186 15 0.0937384818459 46.8110763104
transp_dark e3 1.023 0.490 2.220 1.023 0.650593073505 324.892844552 7 0.300593073505 150.110019121
transp_dark f2 0.490 0.490 2.220 1.023 0.0686674715458 34.2911276914 9 0.118667471546 59.260102753
transp_dark f3 2.220 0.490 2.220 1.023 0.969402579912 484.099776849 7 0.619402579912 309.316951418
transp_med_steep e3 0.490 0.730 0.171 0.490 0.120135208171 59.9930603368 13 0.275135208171 137.396883028
transp_med_steep f2 0.730 0.730 0.171 0.490 0.835976635969 417.469595511 9 0.385976635969 192.748819957
transp_med_steep f3 0.171 0.730 0.171 0.490 0.357559853722 178.558061412 7 0.172559853722 86.1728536841
transp_dark_steep e3 0.305 2.220 1.023 0.305 0.149006729293 74.4109061545 4 0.114006729293 56.9326236114
transp_dark_steep f2 2.220 2.220 1.023 0.305 0.0412024526363 20.575660247 13 0.6 299.627700739
transp_dark_steep f3 1.023 2.220 1.023 0.305 0.840108356879 419.532892239 10 0.340108356879 169.843141623
plain e3 2.220 0.065 1.023 2.220 0.436720538808 218.089284848 7 0.786720538808 392.872110279
plain f2 0.065 0.065 1.023 2.220 0.717254381213 358.182135146 26 0.01 4.99379501231
plain f3 1.023 0.065 1.023 2.220 0.75160908284 375.338168909 12 0.35160908284 175.586368417
transp_dark e3 2.220 1.023 0.305 2.220 0.22658931302 113.154058121 4 0.32658931302 163.092008244
transp_dark f2 1.023 1.023 0.305 2.220 0.929062717738 463.954876597 23 0.35 174.782825431
transp_dark f3 0.305 1.023 0.305 2.220 0.490085538447 244.73867175 7 0.140085538447 69.9558463193
plain e3 0.092 0.065 1.369 0.092 0.453971261755 226.703942269 8 0.0539712617553 26.9521417762
plain f2 0.065 0.065 1.369 0.092 0.52268898589 261.020165073 15 0.0276889858902 13.8273119635
plain f3 1.369 0.065 1.369 0.092 0.858117426614 428.526252501 6 0.558117426614 278.712402131
transp_dark_steep e3 0.171 0.092 1.768 0.171 0.501313673709 250.345772337 19 0.0763136737089 38.1094843139
transp_dark_steep f2 0.092 0.092 1.768 0.171 0.528551693458 263.947881054 13 0.05 24.9689750616
transp_dark_steep f3 1.768 0.092 1.768 0.171 0.608059056631 303.65222842 7 0.658059056631 328.621203481
transp_med_steep e3 1.023 0.490 0.305 1.023 0.0055241269905 2.75863578125 15 0.15552412699 77.665560966
transp_med_steep f2 0.490 0.490 0.305 1.023 0.959448716837 479.129021671 12 0.359448716837 179.501320933
transp_med_steep f3 0.305 0.490 0.305 1.023 0.642592134098 320.897339421 8 0.242592134098 121.145538929
plain e3 0.305 1.369 0.730 0.305 0.958211955246 478.511408285 17 0.108211955246 54.0388322378
plain f2 1.369 1.369 0.730 0.305 0.870494322361 434.707020525 7 0.520494322361 259.924195094
plain f3 0.730 1.369 0.730 0.305 0.132121309745 65.9786737626 5 0.282121309745 140.885598947
transp_med_steep e3 1.768 0.730 1.369 1.768 0.611138215877 305.189897428 6 0.636138215877 317.674384959
transp_med_steep f2 0.730 0.730 1.369 1.768 0.149463348173 74.6389322632 22 0.384463348173 191.993115053
transp_med_steep f3 1.369 0.730 1.369 1.768 0.486072048716 242.73441725 1 0.436072048716 217.765442189
shadow e3 0.490 1.023 0.092 0.490 0.766208476364 382.628806766 11 0.216208476364 107.970081089
shadow f2 1.023 1.023 0.092 0.490 0.808584347763 403.790448289 9 0.358584347763 179.069672735
shadow f3 0.092 1.023 0.092 0.490 0.567131360321 283.21377585 49 0.012131360321 6.05815266634
transp_med_steep e3 0.730 0.490 0.305 0.730 0.883358482065 441.131118182 10 0.383358482065 191.441367566
transp_med_steep f2 0.490 0.490 0.305 0.730 0.579122890461 289.20210019 17 0.209122890461 104.431684734
transp_med_steep f3 0.305 0.490 0.305 0.730 0.56248137499 280.891668494 7 0.21248137499 106.108843063
shadow e3 0.065 1.768 1.369 0.065 0.311291413017 155.45255057 31 0.005 2.49689750616
shadow f2 1.768 1.768 1.369 0.065 0.631593139565 315.404667017 1 0.581593139565 290.435691956
shadow f3 1.369 1.768 1.369 0.065 0.778566272528 388.800036851 5 0.528566272528 263.955161543
transp_dark_steep e3 0.490 0.171 0.092 0.490 0.979844655445 489.31433532 15 0.229844655445 114.779709397
transp_dark_steep f2 0.171 0.171 0.092 0.490 0.0111325802901 5.55938239268 3 0.1 49.9379501231
transp_dark_steep f3 0.092 0.171 0.092 0.490 0.0555559503977 27.7435028 10 0.025 12.4844875308
transp_dark_steep e3 0.171 0.092 0.730 0.171 0.95963314077 479.221119203 18 0.0596331407703 29.7795680947
transp_dark_steep f2 0.092 0.092 0.730 0.171 0.982524720294 490.652704768 22 0.01 4.99379501231
transp_dark_steep f3 0.730 0.092 0.730 0.171 0.70284656037 350.98716476 7 0.35284656037 176.204339329
plain e3 1.768 0.092 0.730 1.768 0.0974377029938 48.6583915222 9 0.547437702994 273.379167076
plain f2 0.092 0.092 0.730 1.768 0.798181008208 398.595233771 20 0.065 32.45966758
plain f3 0.730 0.092 0.730 1.768 0.48838211226 243.888015631 3 0.33838211226 168.981090446
transp_med e3 0.730 0.092 0.490 0.730 0.666218577978 332.695901182 5 0.416218577978 207.851025874
transp_med f2 0.092 0.092 0.490 0.730 0.874889811236 436.902037567 24 0.109889811236 54.8767191252
transp_med f3 0.490 0.092 0.490 0.730 0.27781020988 138.732724047 1 0.22781020988 113.763748985
shadow e3 0.065 0.730 1.023 0.065 0.133007762653 66.4213501735 10 0.025 12.4844875308
shadow f2 0.730 0.730 1.023 0.065 0.411174615102 205.332174209 4 0.211174615102 105.456273962
shadow f3 1.023 0.730 1.023 0.065 0.153576208197 76.6928102506 3 0.303576208197 151.599735435
transp_med e3 0.305 2.220 0.490 0.305 0.432683393395 216.073217185 25 0.085 42.4472576047
transp_med f2 2.220 2.220 0.490 0.305 0.462159856845 230.793158801 3 0.512159856845 255.762133862
transp_med f3 0.490 2.220 0.490 0.305 0.154554031406 77.1811151166 15 0.199554031406 99.6531926721
transp_dark e3 0.730 0.490 0.092 0.730 0.278964868499 139.309336892 1 0.328964868499 164.278311954
transp_dark f2 0.490 0.490 0.092 0.730 0.71191865742 355.51758406 27 0.12691865742 63.3805758392
transp_dark f3 0.092 0.490 0.092 0.730 0.0515844392217 25.7602115298 10 0.0465844392217 23.2633140237
transp_dark_steep e3 0.490 0.065 1.768 0.490 0.0590451347092 29.4859299212 15 0.169045134709 84.4176750567
transp_dark_steep f2 0.065 0.065 1.768 0.490 0.985736573137 492.256638239 26 0.025 12.4844875308
transp_dark_steep f3 1.768 0.065 1.768 0.490 0.285821200502 142.733248548 7 0.535821200502 267.578123856
